README.md:48: table-row 279 > 200	`--ship-logs`
cli/engine/executor.py:1950: comment-block 23 > 4	"""The post-terminal reconciliation: what this intent's fills say this engine's OWN position
cli/engine/executor.py:2024: comment-block 27 > 4	# This terminal was MINTED by the execution engine, not sent by the venue: past its
cli/engine/executor.py:2056: comment-block 5 > 4	# Deliberately does NOT set `phase = "resting"`. The submission paths already did, and
cli/engine/executor.py:2107: comment-block 14 > 4	"""Three verdicts, and telling them apart is the whole safety of this branch.
cli/engine/executor.py:2137: comment-block 5 > 4	"""A cancel WE asked for writes its row terminal here -- the mid-rest revoke, the time-box
cli/engine/executor.py:2168: comment-block 5 > 4	# Spec 00108 D5. This arm runs for ANY venue-originated cancel or expiry while the
cli/engine/executor.py:2186: comment-block 39 > 4	"""The row state a non-fill event writes, read off the VENUE's own order.
cli/engine/executor.py:2244: comment-block 32 > 4	"""Events from `events.order.EXTERNAL` (spec 00098 D1): the delivery path for orders this
cli/engine/executor.py:2323: comment-block 28 > 4	"""The live view of the fill that just went into the ledger row -- same event, same numbers.
cli/engine/executor.py:2364: comment-block 11 > 4	"""Realized PnL over every instrument this process has traded, EUR only.
cli/engine/executor.py:2405: comment-block 6 > 4	# `commission` is optional on the event, and a fee-less fill still gets its row: the
cli/engine/executor.py:2418: comment-block 21 > 4	"""An event for an order that is not the one in flight: an order this process superseded, one
cli/engine/executor.py:2460: comment-block 7 > 4	# Both completion tests carry a one-lot-step tolerance, because both compare a SUM of
cli/engine/executor.py:2593: comment-block 15 > 4	"""An ambiguous outcome ends the WHOLE plan, not just its intent (owner ruling).
cli/engine/flatten.py:1: comment-block 28 > 4	"""`zcrypto engine flatten` -- the red button (spec 00106).
cli/engine/flatten.py:1: file-prose 30.7 > 20
cli/engine/flatten.py:66: comment-block 5 > 4	# The rung-1 leverage, and the only value ever accepted live from this repo (probes 4c/4d in
cli/engine/flatten.py:76: comment-block 5 > 4	# The basket legs Kraken spells two ways, which are exactly the legs `read_open_orders` cannot see
cli/engine/flatten.py:122: comment-block 7 > 4	"""Every request with its parameters and every answer verbatim -- the journal's spine.
cli/engine/flatten.py:166: comment-block 6 > 4	"""A quantization step, which must be positive to be one.
cli/engine/flatten.py:185: comment-block 7 > 4	"""The keyword arguments as the journal records them: a nautilus enum by its string form, every
cli/engine/flatten.py:196: comment-block 21 > 4	"""The orders resting at the venue that the adapter can resolve an instrument for -- NOT every
cli/engine/flatten.py:252: comment-block 5 > 4	# `None` read as "no positions" is the one shape that CONFIRMS ITSELF: `build_plan` shows no
cli/engine/flatten.py:316: comment-block 7 > 4	"""The three constraints a sized order needs, required on THIS pair only. Validating the whole
cli/engine/flatten.py:365: comment-block 5 > 4	# `_required` rejects only `None` and `_as_float` only the non-finite, so a zero would flow
cli/engine/flatten.py:423: comment-block 9 > 4	"""One leg per LONG or SHORT row, plus the rows this code cannot build a closer for.
cli/engine/flatten.py:541: comment-block 6 > 4	"""The committed per-symbol notional floor, or None when it does not apply to this pair.
cli/engine/flatten.py:557: comment-block 8 > 4	"""The reference price at the venue's tick, or None where the floor leaves nothing of it.
cli/engine/flatten.py:574: comment-block 6 > 4	"""`size_order`'s verdict on one quantity -- the engine's own arithmetic, floors and all.
cli/engine/flatten.py:596: comment-block 9 > 4	"""`flat` / `dust` / `residual` for one non-EUR free spot balance.
cli/engine/flatten.py:613: comment-block 8 > 4	"""One leg's order quantity and whether it is sent at all.
cli/engine/flatten.py:672: comment-block 13 > 4	"""Every leg, sized, with its reference price -- and every book read taken HERE, before the
cli/engine/flatten.py:734: comment-block 7 > 4	"""What an operator reads before typing the word. Estimates stay in each leg's own quote
cli/engine/flatten.py:771: comment-block 9 > 4	"""Present or refuse. Without it, the engine's next start re-opens what this sweep closes; the
cli/engine/flatten.py:800: comment-block 11 > 4	"""The typed word, read from the controlling terminal and NEVER from stdin: a pipe or a heredoc
cli/engine/flatten.py:857: comment-block 13 > 4	"""`FLT-<basic ISO-8601 UTC>-<n>`. Inside the id SHAPE Kraken has already accepted from this
cli/engine/flatten.py:878: comment-block 14 > 4	"""One MARKET IOC order. The quantity is minted at the precision the venue's own lot step
cli/engine/flatten.py:936: comment-block 19 > 4	"""Never raises: a rejection is journaled and the sweep continues, and is never retried.
cli/engine/flatten.py:980: comment-block 16 > 4	"""A POST-WRITE read whose answer nothing but the journal consumes: run it, or name the failure
cli/engine/flatten.py:1004: comment-block 12 > 4	"""From the account-wide cancel to the final snapshot. Re-runnable: a second run finds less to
cli/engine/flatten.py:1072: comment-block 9 > 4	"""Everything in the final snapshot that says the account is not flat.
cli/engine/flatten.py:1131: comment-block 5 > 4	"""ISO-8601 BASIC form: an operator types this path mid-incident, and the extended form's `:`
cli/engine/flatten.py:1161: comment-block 5 > 4	# The condition this fallback exists for is routinely the SAME one that broke the
cli/engine/flatten.py:1173: comment-block 12 > 4	"""`echo`, with a stdout that can go away.
cli/engine/flatten.py:1209: comment-block 6 > 4	"""The whole button. Returns the process exit code; raises nothing.
cli/engine/gate_cache.py:1: comment-block 30 > 4	"""The gate-export scoring cache primitives (spec 00060): fingerprints, load/save, and the
cli/engine/gate_cache.py:1: file-prose 43.1 > 20
cli/engine/gate_cache.py:58: comment-block 9 > 4	# The replay entry points (spec 00065 D1). Coverage is DERIVED from these by _replay_code_paths()
cli/engine/gate_cache.py:76: comment-block 9 > 4	"""The files a dotted `cli.*` module name can live in, under `repo_root`. Non-`cli` names
cli/engine/gate_cache.py:90: comment-block 7 > 4	# ANCESTOR PACKAGES (spec 00065 D10, added at review). Importing `cli.engine.command` EXECUTES
cli/engine/gate_cache.py:113: comment-block 14 > 4	"""The `cli.*` modules `module_path` imports. Best-effort BY DESIGN (D6): a file that cannot be
cli/engine/gate_cache.py:150: comment-block 26 > 4	"""The transitive `cli.*` import closure of `_REPLAY_ROOTS` (spec 00065) -- the
cli/engine/gate_cache.py:178: comment-block 5 > 4	# Seed with the roots AND their own ancestor packages. Without this the D10 ancestor rule
cli/engine/gate_cache.py:196: comment-block 20 > 4	"""sha256 over the source bytes of the modules that determine a replay's result, the effective
cli/engine/gate_cache.py:231: comment-block 6 > 4	"""sha256 over everything a replay verdict depends on from the journal side: every journaled
cli/engine/gate_cache.py:259: comment-block 6 > 4	"""The cycle's permanent re-verification slice, in [0, _ROTATION_SLICES) (D2). sha256 over the
cli/engine/gate_cache.py:277: comment-block 8 > 4	"""`entries` maps a cycle's cycle_ts to its (evidence_fingerprint, CycleOutcome, verified_at)
cli/engine/instruments.py:1: comment-block 30 > 4	"""The engine's venue instrument map, the committed costmin constant, the pure order-sizing
cli/engine/instruments.py:1: file-prose 47 > 20
cli/engine/instruments.py:42: comment-block 5 > 4	# Kraken spells the euro both ways across its surfaces (the adapter's Money and the measured free
cli/engine/instruments.py:49: comment-block 11 > 4	# Committed, not read live (spec 00089 D5a, measured): the installed nautilus-trader 1.230.0
cli/engine/instruments.py:89: comment-block 7 > 4	"""Floor `value` down to the nearest multiple of `step`, exact under float equality.
cli/engine/instruments.py:112: comment-block 10 > 4	"""Quantize `target_qty`/`reference_price` to the venue's `lot_step`/`tick_size`, then check
cli/engine/instruments.py:136: comment-block 8 > 4	"""EUR-denominate one symbol's `qty * price` notional, quote-aware: an `/EUR` leg needs no
cli/engine/node.py:1: comment-block 7 > 4	"""The node wrapper (spec 00041 SS the node wrapper): pure 4h-boundary arithmetic, the
cli/engine/node.py:1: file-prose 41 > 20
cli/engine/node.py:59: comment-block 5 > 4	# The client-order-id tag, a venue-visible identifier: registration stamps it into `strategy_id`
cli/engine/node.py:66: comment-block 5 > 4	# The identity nautilus stamps on an order this process did not submit: reconciliation adopts a
cli/engine/node.py:96: comment-block 5 > 4	"""The restart-inside-a-passable-window rule: return B = most_recent_boundary(now) iff no
cli/engine/node.py:112: comment-block 5 > 4	"""Invoke run_cycle, catching and logging any exception -- the node must survive; an
cli/engine/node.py:167: comment-block 26 > 4	"""The thin strategy owning ONLY timer arithmetic and the probe executor's wiring: on_start
cli/engine/node.py:195: comment-block 10 > 4	"""`Strategy` is a pyo3 class, so construction hands `__new__` this subclass's own
cli/engine/node.py:297: comment-block 16 > 4	"""The observer's whole configuration: the external order identity, and nothing else.
cli/engine/node.py:322: comment-block 22 > 4	"""The second order stream (spec 00098 D1, 00100 D2): registered under the venue's external
cli/engine/node.py:346: comment-block 5 > 4	"""`Strategy` is a pyo3 class, so construction hands `__new__` this subclass's own
cli/engine/node.py:412: comment-block 17 > 4	"""Every knob explicit (all five are library defaults) because all five are load-bearing here.
cli/engine/node.py:439: comment-block 15 > 4	"""The Kraken data client. The adapter loads the venue's instrument universe itself on connect;
cli/engine/node.py:462: comment-block 5 > 4	"""The trade key and secret read from the environment, or None when either is absent or empty.
cli/engine/node.py:489: comment-block 25 > 4	# Matched literally against the loaded instrument's `quote_currency.code`, which for
cli/engine/node.py:524: comment-block 11 > 4	"""The assembled builder: trader identity, logging, the two exec-engine knobs, the Kraken data
cli/engine/node.py:573: comment-block 8 > 4	"""Assemble (never run here) the production-shape shadow LiveNode: the builder's clients
cli/engine/soak.py:282: comment-block 7 > 4	"""Recompute a result's net P&L under the LIVE cost convention -- cost on `final_targets = mult x limited`
cli/engine/soak.py:536: comment-block 7 > 4	"""Roll per-metric verdicts into a multiplicity-aware summary: judging N discriminating metrics at `band`
cli/engine/soak.py:585: comment-block 6 > 4	"""Reconcile two per-metric null verdicts (spec 00061 D1) -- pure: two labels in, a `DualVerdict` out. An
cli/engine/soak.py:760: comment-block 8 > 4	"""Recover each SCORED cycle's governor multiplier and cap-breach flag from ONE rebuild over `latest_record`'s own
cli/engine/soak.py:955: comment-block 5 > 4	"""Judge `live` against `null_series` under `null_mode` (spec 00061 D4), one call per gating call site in
cli/engine/soak.py:984: comment-block 9 > 4	"""Judge the realized series against its backtest null and roll the result into a `SoakAnalysis`. Gates on the
cli/engine/soak.py:1260: comment-block 9 > 4	"""Render a soak-check analysis to a text report. `analysis`/`null`/`self_test` are `None` when the canonical
cli/engine/soak.py:1390: comment-block 6 > 4	"""`asdict(verdict)`, except: a governor_engagement/cap_breach verdict whose "n/a" comes from an internals
cli/engine/soak.py:1532: comment-block 8 > 4	"""Orchestrate the full soak-check: load the journal, build the realized series, gate it (self-tests, plausibility,
cli/engine/venuestate.py:1: comment-block 43 > 4	"""The frozen venue-truth snapshot and its Cache reader (spec 00089 D3): the ONE module in this
cli/engine/venuestate.py:1: file-prose 41.9 > 20
cli/engine/venuestate.py:61: comment-block 5 > 4	"""One symbol's venue-quoted order constraints, evidence -- not live-precision, hence float.
cli/engine/venuestate.py:114: comment-block 8 > 4	"""Read the twelve `INSTRUMENT_IDS` legs from `cache` and freeze them into a `VenueState`.
cli/engine/venuestate.py:155: comment-block 7 > 4	"""Per `INSTRUMENT_IDS` symbol (never `state.instruments`, so a hand-built state missing a
cli/features/derivatives.py:1: comment-block 13 > 4	"""Derivatives-positioning features over Binance USDT-M perpetuals, mapped to Kraken spot bases by
cli/features/derivatives.py:1: file-prose 41.1 > 20
cli/features/derivatives.py:31: comment-block 6 > 4	"""As-of forward fill onto a decision grid: out[k] is the value of the latest source row with
cli/features/derivatives.py:55: comment-block 12 > 4	"""Trailing z-score of the funding print at k over the inclusive window ending at k:
cli/features/derivatives.py:84: comment-block 10 > 4	"""Run length of consecutive same-sign funding prints ending at k, counting the print at k --
cli/features/derivatives.py:111: comment-block 10 > 4	"""Sum of the funding prints in the inclusive window ending at k -- what a position held across
cli/features/derivatives.py:137: comment-block 11 > 4	"""Map the substrate's `0.0` open-interest placeholders to None; pass everything else through.
cli/features/derivatives.py:152: comment-block 10 > 4	"""Log ratio of consecutive open-interest levels: log(levels[k] / levels[k-1]), same length as
cli/features/derivatives.py:177: comment-block 12 > 4	"""Trailing z-score of the open-interest level at k over the inclusive window ending at k:
cli/features/derivatives.py:206: comment-block 10 > 4	"""Past return of the open-interest level over `lookback` bars: levels[k] / levels[k-lookback]
cli/features/derivatives.py:240: comment-block 7 > 4	"""Carry Binance's four ratio columns through under `binperp_` names. No arithmetic and no
cli/features/derivatives.py:261: comment-block 8 > 4	"""Coverage of one column inside one calendar year: how many rows carried a reading, how many
cli/features/derivatives.py:277: comment-block 12 > 4	"""Per-year coverage of one column, so a trial can see WHERE a column is missing rather than
cli/features/volatility.py:1: file-prose 20.8 > 20
cli/liquidations/coinalyze.py:1: comment-block 22 > 4	"""Coinalyze REST liquidation-history poller (`zcrypto liquidations-poll`, spec 00051 OPS-2): the
cli/liquidations/coinalyze.py:1: file-prose 33.5 > 20
cli/liquidations/coinalyze.py:58: comment-block 5 > 4	# Load-bearing (verified live 2026-07-15, stable over 150s): SegmentWriter's dedup keeps the FIRST
cli/liquidations/coinalyze.py:64: comment-block 8 > 4	# Each cycle re-requests the last 30h regardless of when it last succeeded: Coinalyze's own history
cli/liquidations/coinalyze.py:74: comment-block 11 > 4	# T0046: most of the funding basket's symbols liquidate rarely, so `SegmentWriter`'s event-driven
cli/liquidations/coinalyze.py:102: comment-block 6 > 4	"""Newest persisted bucket start (epoch s) per coin, read from the segment tree at startup.
cli/liquidations/coinalyze.py:133: comment-block 10 > 4	"""GET Coinalyze's `/v1/liquidation-history` for `symbols` (one batched call) over `[frm, to]`
cli/liquidations/coinalyze.py:167: comment-block 15 > 4	"""One poll cycle: fetch `coins`' batched Coinalyze symbols over the last 30h and append every
cli/liquidations/coinalyze.py:241: comment-block 5 > 4	"""Isolation invariant (spec 00069 D5): by the time this runs, `_poll_once`'s real work --
cli/liquidations/coinalyze.py:286: comment-block 5 > 4	# A malformed bucket (null l/s, missing t, non-dict entry) raises TypeError/KeyError/
cli/liquidations/coinalyze.py:310: comment-block 7 > 4	# Opt-in exporter (spec 00069 D5): unset ZCRYPTO_METRICS_PORT means no server and no metrics
cli/liquidations/coinalyze.py:324: comment-block 7 > 4	# SIGTERM is pointed at the same handler Python installs for SIGINT by default
cli/ohlc/reach.py:1: comment-block 7 > 4	"""REST reach-round: carry the canonical OHLC basket forward from Kraken's public OHLC endpoint.
cli/panel/materialize.py:1: comment-block 17 > 4	"""Hour materializer + watermarked sweep for the 1s L2 panel (spec 00052 D3/D4/D5/D6).
cli/panel/materialize.py:1: file-prose 36.3 > 20
cli/panel/materialize.py:45: comment-block 7 > 4	# T0066 / spec 00052 D6 correction: an hour being "settled" (its canonical final is committed +
cli/panel/materialize.py:58: comment-block 6 > 4	# 2 (T0104): `stale_seconds` joined PANEL_SCHEMA. A column addition is a GENERATION change under
cli/panel/materialize.py:81: comment-block 28 > 4	"""Replay one canonical hour into the 1s-grid wide primitive panel, threading `OrderBook` state
cli/panel/materialize.py:153: comment-block 9 > 4	"""Publish `frame` as `pair`'s hour, atomically, with a `.sha256` sidecar.
cli/panel/materialize.py:187: comment-block 5 > 4	"""Persist `book`'s end-of-hour state as `<HH>.state.json`, next to the hour's parquet, for O(1)
cli/panel/materialize.py:231: comment-block 5 > 4	"""The newest hour with an existing panel final for `pair`, or None if it holds none yet.
cli/panel/materialize.py:262: comment-block 5 > 4	#: distinct pairs present in the archive whose quote has no entry in `NOTIONALS_BY_QUOTE`
cli/panel/materialize.py:281: comment-block 21 > 4	"""Sweep canonical book hours (reconciled-first, spec 00052 D3) into the panel, per-pair
cli/portfolio/crossfreq.py:1: comment-block 11 > 4	"""Cross-frequency combination primitives — 00038 §Construction items 1 and 4.
cli/portfolio/crossfreq.py:1: file-prose 31.6 > 20
cli/portfolio/crossfreq.py:22: comment-block 16 > 4	"""Hold each daily position across the intraday bars inside its (daily_ts[k], daily_ts[k+1]] interval.
cli/portfolio/crossfreq.py:73: comment-block 8 > 4	"""Compound intraday returns within each calendar day, govern the day series, broadcast per-bar.
cli/portfolio/crossfreq_system.py:1: comment-block 35 > 4	"""Cross-frequency system builder — the adopted deployable P1 system (registry record 44) as one
cli/portfolio/crossfreq_system.py:1: file-prose 24.8 > 20
cli/portfolio/crossfreq_system.py:181: comment-block 5 > 4	"""The synthetic forming-bar close appended to a grid. Any valid price works — forming-interval
cli/portfolio/crossfreq_system.py:210: comment-block 18 > 4	"""The §10 whole-book ceilings on the already per-asset-capped book, at their §10 defaults.
cli/portfolio/crossfreq_system.py:376: comment-block 8 > 4	# --- the fast path ------------------------------------------------------------------------------
cli/portfolio/crossfreq_system.py:399: comment-block 5 > 4	"""out[t] = statistics.stdev(values[t-lookback:t]) — bit-identically — for every t whose trailing
cli/portfolio/crossfreq_system.py:520: comment-block 5 > 4	"""The B sleeve on the (extended) daily grid: dynamic_inverse_vol_basket -> equity -> sma_gate
cli/portfolio/crossfreq_system.py:544: comment-block 6 > 4	"""a1_book_returns(...)["asset_positions"] for the fixed record-44 A1 configuration
cli/portfolio/crossfreq_system.py:627: comment-block 25 > 4	"""The equivalence-gated fast path: same signature, same result type, same values as
cli/portfolio/record43_book.py:1: comment-block 84 > 4	"""Re-derivation of registry record 43's stage-1 book — the incumbent record 44's ADOPT is measured
cli/portfolio/record43_book.py:1: file-prose 31.4 > 20
cli/portfolio/record43_book.py:177: comment-block 5 > 4	"""The registered feed map's second grid: BTC forward-filled, every other asset's Nones kept.
cli/portfolio/record43_book.py:200: comment-block 5 > 4	"""Per-bar (net-of-cost return, turnover) for a per-asset position book, starting flat.
cli/portfolio/record43_book.py:221: comment-block 6 > 4	"""Per-bar turnover of a per-asset position book, starting flat (bar 0 charged full entry).
cli/portfolio/record43_book.py:240: comment-block 7 > 4	"""B sleeve on the DAILY calendar: (per-asset positions, own net-of-cost series).
cli/portfolio/record43_book.py:276: comment-block 5 > 4	"""A1-lf weekly v0.12 held positions, one book per rebalance offset (7 of them).
cli/portfolio/record43_book.py:297: comment-block 5 > 4	"""Trial 34's recorded book — the mean of the 7 offsets' net-of-cost SERIES, not of positions.
cli/portfolio/record43_book.py:307: comment-block 5 > 4	"""A2 sleeve on the 4h calendar: (equal-weight per-asset mean of the three arms, arm Sharpes).
cli/portfolio/record43_book.py:346: comment-block 6 > 4	"""Rolling inverse-vol sleeve weights: (weights, warm-up bars, zero-vol fallback bars).
cli/portfolio/record43_book.py:374: comment-block 8 > 4	"""Governor day ordinals for the 4h return bars: dense ranks of each bar's CLOSE date.
cli/portfolio/record43_book.py:387: comment-block 9 > 4	"""The registered cost-stress axis: the x1.0 book's own ungoverned net, charged the EXTRA
cli/portfolio/record43_book.py:401: comment-block 6 > 4	"""A stress axis re-costed at `cost_multiplier` and RE-GOVERNED through the daily cadence.
cli/portfolio/record43_book.py:425: comment-block 8 > 4	"""Record 44's book on the same stress axis, from the committed builder — no knobs, frozen config.
cli/portfolio/record43_book.py:471: comment-block 7 > 4	"""Narrow a bracket whose ends have opposite `diff_at` signs to `refine_to` wide.
cli/portfolio/record43_book.py:498: comment-block 18 > 4	"""A census of the 43-vs-44 ordering across per-side cost — the measurement record 44's ADOPT
cli/portfolio/record43_book.py:595: comment-block 7 > 4	"""Trial 43's stage-1 figures, keyed by their registry names, plus the `qa` block.
cli/portfolio/record43_book.py:637: comment-block 6 > 4	# ---- expand the daily sleeves to 4h on CLOSE-TIME boundaries ----
cli/snapshot/register.py:15: comment-block 5 > 4	"""Assemble a structured, content-hashed snapshot dict. Deterministic given a fixed `fetched_at`.
cli/snapshot/register.py:31: comment-block 8 > 4	# The three ways a selected pair changes identity underneath us -- T0025's trigger, as a check the
cli/snapshot/register.py:43: comment-block 7 > 4	"""Reasons this snapshot must stop a reference-data sweep, one string each; empty means clean.
cli/snapshot/register.py:105: comment-block 5 > 4	# The ⏱ cost facts. Rendered as base tier + ladder depth rather than the full ladders: the
cli/trades/backfill.py:1: comment-block 14 > 4	"""Orchestration for spec 00053 Task 4: heal the canonical trade stream.
cli/trades/backfill.py:1: file-prose 24.3 > 20
cli/trades/backfill.py:81: comment-block 5 > 4	# A book final's mere EXISTENCE proves only that at least one book event landed somewhere in the
cli/trades/backfill.py:90: comment-block 6 > 4	"""True iff `path`'s book final spans `hour` end to end (see `_BOOK_WITNESS_SLACK`).
cli/trades/backfill.py:125: comment-block 7 > 4	"""Heal the canonical trade stream to spec 00053's invariant: contiguous AND unique trade_id.
cli/trades/backfill.py:145: comment-block 10 > 4	# The book sibling of a trades hour: the witness that the stream was CONNECTED while that hour's
cli/trades/backfill.py:267: comment-block 5 > 4	# No trades final for a settled hour, and a book final that SPANS it: the signature of a
cli/universe/rules.py:9: comment-block 7 > 4	# effective-spread bps per side at `SPREAD_REFERENCE_NOTIONAL_EUR`, so this and the volume floor
cli/universe/rules.py:55: comment-block 5 > 4	"""Apply the master plan §3 mechanical selection rule to each `cli.snapshot` `PairSnapshot`.
cli/xcheck/binance.py:1: file-prose 20.1 > 20
cli/xcheck/binance.py:18: comment-block 6 > 4	"""Map a canonical `"BASE/QUOTE"` symbol to its Binance ticker (e.g. `"BTC/EUR"` -> `"BTCEUR"`).
cli/xcheck/binance.py:32: comment-block 6 > 4	"""GET Binance's public daily klines for `pair` and return the raw kline rows.
cli/xcheck/binance.py:53: comment-block 8 > 4	"""Fetch daily klines for `pair` via `fetch_fn` and parse into a canonical `{ts, close}` frame.
cli/xcheck/binance.py:81: comment-block 7 > 4	"""Cross-check a canonical Kraken daily frame against a Binance daily-closes frame on their `ts` overlap.
cli/xcheck/binance.py:117: comment-block 9 > 4	"""Cross-check each `symbol`'s Kraken daily series under `kraken_root` against Binance.
docs/open-topics/T0018-phase6-build-sequence.md:68: table-row 208 > 200	`00089`
docs/open-topics/T0018-phase6-build-sequence.md:69: table-row 291 > 200	`00094`
docs/open-topics/T0018-phase6-build-sequence.md:70: table-row 342 > 200	`00090`
docs/open-topics/T0018-phase6-build-sequence.md:71: table-row 592 > 200	`00091`
docs/reference/adapter-verification/1.230.0.md:33: table-row 203 > 200	3
docs/reference/adapter-verification/1.230.0.md:35: table-row 276 > 200	4b
docs/reference/adapter-verification/1.230.0.md:51: section 2222 > 2048	## Version re-check rule<a name="version-re-check-rule"></a>
docs/reference/adapter-verification/1.231.0.md:35: section 2248 > 2048	## Probe results<a name="probe-results"></a>
docs/reference/adapter-verification/1.231.0.md:43: table-row 268 > 200	4b
docs/reference/adapter-verification/1.231.0.md:46: table-row 299 > 200	5
docs/reference/adapter-verification/1.231.0.md:51: section 2783 > 2048	## Observations<a name="observations"></a>
docs/reference/adapter-verification/2.0.0rc4.dev20260825.md:35: table-row 249 > 200	4b
docs/reference/adapter-verification/2.0.0rc4.dev20260825.md:38: table-row 301 > 200	5
docs/reference/adapter-verification/2.0.0rc4.dev20260825.md:39: table-row 220 > 200	6
docs/reference/adapter-verification/2.0.0rc4.dev20260825.md:41: section 2306 > 2048	## Observations
docs/reference/adapter-verification/2.0.0rc4.dev20260825.md:53: section 2663 > 2048	## Owed checks not discharged by this pass
docs/reference/capture-era-data-hygiene-map.md:18: table-row 279 > 200	Canonical trades
docs/reference/capture-era-data-hygiene-map.md:20: table-row 427 > 200	Book / panel, ranks > 10
docs/reference/capture-era-data-hygiene-map.md:23: section 10974 > 2048	## Structural windows (era-dependent)
docs/reference/capture-era-data-hygiene-map.md:27: table-row 449 > 200	**2026-07-08 13:00 → 07-09 00:00** — launch day
docs/reference/capture-era-data-hygiene-map.md:28: table-row 471 > 200	**07-09 → 07-14 04:00:42** — desync-heal era
docs/reference/capture-era-data-hygiene-map.md:29: table-row 468 > 200	**07-14 04:00:42 → secondary bring-up (~07-14 evening; exact moment unrecorded)**
docs/reference/capture-era-data-hygiene-map.md:31: table-row 905 > 200	**2026-07-27 07:01:04 → 07:04:22** — Kraken venue outage
docs/reference/capture-era-data-hygiene-map.md:32: table-row 1949 > 200	**2026-08-06 07:01:02 → 07:18:18** — Kraken venue outage
docs/reference/capture-era-data-hygiene-map.md:33: table-row 2008 > 200	**2026-08-20 07:01:04 → 07:10:16** — Kraken venue outage
docs/reference/capture-era-data-hygiene-map.md:34: table-row 3929 > 200	**2026-09-03 07:01:01.946946 → 07:04:00.668272** — Kraken venue outage
docs/reference/captured-spread-calibration.md:28: section 3289 > 2048	## Provenance
docs/reference/captured-spread-calibration.md:37: section 3011 > 2048	## Two things to know before you quote a spread number
docs/reference/captured-spread-calibration.md:53: section 2863 > 2048	## Caveats
docs/reference/data-catalog-full.md:9: section 3260 > 2048	### `ohlc-full`
docs/reference/data-catalog-full.md:66: section 4237 > 2048	### `ohlc-reach`
docs/reference/data-catalog-full.md:83: section 4184 > 2048	### `derivatives-oi`
docs/reference/data-catalog-full.md:115: section 2201 > 2048	### Canonical trades — healed (`capture-reconciled/…/trades/`, since 2026-07-08; daily)
docs/reference/data-catalog-full.md:123: section 3527 > 2048	### L2 primitive panel (`l2-panel/`, since 2026-07-08 capture start; accruing hourly)
docs/reference/data-catalog-full.md:131: section 3001 > 2048	### Tape-bars — 15m OHLCV from the captured trade tape (`tape-bars/`, since 2026-07-08; daily finals)
docs/reference/data-catalog.md:26: section 6111 > 2048	## Dataset
docs/reference/drill-log.md:9: section 4240 > 2048	## 2026-08-31 — J′ — pass
docs/reference/drill-log.md:13: section 6747 > 2048	## 2026-08-31 — K — pass
docs/reference/drill-log.md:17: section 3857 > 2048	## 2026-08-31 — O — pass
docs/reference/drill-log.md:21: section 3852 > 2048	## 2026-08-31 — I — pass
docs/reference/drill-log.md:25: section 3594 > 2048	## 2026-08-31 — Q-logs — pass
docs/reference/drill-log.md:29: section 6507 > 2048	## 2026-08-31 — C-ops — pass
docs/reference/drill-log.md:33: section 4947 > 2048	## 2026-08-31 — C-secondary — pass
docs/reference/drill-log.md:37: section 2487 > 2048	## 2026-08-31 — C′ — pass
docs/reference/drill-log.md:41: section 9744 > 2048	## 2026-08-31 — N — pass
docs/reference/drill-log.md:45: section 15357 > 2048	## 2026-08-31 — R — pass
docs/reference/drill-log.md:49: section 2952 > 2048	## 2026-09-01 — C′-fail — pass
docs/reference/drill-log.md:55: section 3317 > 2048	## 2026-09-02 — N — pass
docs/reference/drill-log.md:59: section 6204 > 2048	## 2026-09-04 — P — pass
docs/reference/fleet-pins.md:12: section 2280 > 2048	## Current pins
docs/reference/fleet-pins.md:27: table-row 454 > 200	agentboard
docs/reference/fleet.md:5: section 8012 > 2048	## Hosts
docs/reference/fleet.md:11: table-row 352 > 200	`zcrypto-ops`
docs/reference/fleet.md:12: table-row 457 > 200	`nas`
docs/reference/fleet.md:13: table-row 487 > 200	`zaccess`
docs/reference/fleet.md:27: section 4389 > 2048	## Services and instruments
docs/reference/fleet.md:32: table-row 492 > 200	`zcrypto-engine`
docs/reference/fleet.md:34: table-row 246 > 200	`grafana-alloy`
docs/reference/fleet.md:35: table-row 277 > 200	ops timers
docs/reference/fleet.md:36: table-row 501 > 200	capture/engine timers
docs/reference/fleet.md:38: table-row 301 > 200	gate export
docs/reference/fleet.md:39: table-row 274 > 200	Caddy (mTLS edge)
docs/reference/fleet.md:41: table-row 278 > 200	socket-proxyd relays
docs/reference/fleet.md:42: table-row 227 > 200	agentboard (G2)
docs/reference/fleet.md:43: table-row 231 > 200	access probe timers
docs/reference/kraken-snapshot-register.md:42: section 4439 > 2048	## Endpoint-reported fee ladder, borrow rate & margin bands
docs/reference/kraken-snapshot-register.md:116: section 5502 > 2048	## Re-confirmation log
docs/reference/kraken-snapshot-register.md:125: table-row 327 > 200	#0 (Phase 0, iter-002)
docs/reference/kraken-snapshot-register.md:126: table-row 427 > 200	#1 (monthly, 2026-08-04)
docs/reference/kraken-snapshot-register.md:127: table-row 2729 > 200	#2 (monthly, 2026-09-04)
docs/reference/multi-agent-protocol.md:36: section 2246 > 2048	## The hourly tick
docs/reference/sleeve-composition-ledger.md:1: section 2120 > 2048	# Sleeve composition ledger
docs/reference/sleeve-composition-ledger.md:13: section 2753 > 2048	### 2026-08-22 — B and A1 re-arm; the one-sleeve era ends
